qid,n_hits,n_relevant_qrel,n_relevant_in_hits,best_rank,found_in_top_k
1000089,1000,1,1,443.0,True
1000211,1000,1,1,4.0,True
1000213,1000,1,1,12.0,True
1000372,1000,1,1,3.0,True
1000929,1000,1,1,156.0,True
1000933,1000,1,1,20.0,True
1000992,1000,1,1,143.0,True
1001067,1000,1,1,26.0,True
1001162,1000,0,0,,False
1001276,1000,0,0,,False
1001471,1000,1,1,1.0,True
1001557,1000,1,1,928.0,True
1001627,1000,0,0,,False
1001663,1000,0,0,,False
1001695,1000,1,1,988.0,True
100211,1000,0,0,,False
1002116,1000,1,1,17.0,True
1002258,1000,1,1,6.0,True
1002766,1000,1,1,16.0,True
1002824,1000,1,1,49.0,True
1002904,1000,1,0,,False
1002974,1000,1,1,615.0,True
1003136,1000,0,0,,False
1003218,1000,1,1,45.0,True
1003427,1000,1,1,340.0,True
1003442,1000,1,1,87.0,True
1003492,1000,1,1,51.0,True
1003646,1000,1,1,1.0,True
100368,1000,0,0,,False
1004157,1000,1,1,6.0,True
1004225,1000,0,0,,False
1004400,1000,1,1,5.0,True
1004471,1000,1,1,180.0,True
1004485,1000,1,1,102.0,True
1004615,1000,1,1,3.0,True
1004726,1000,2,0,,False
1004766,1000,1,1,4.0,True
1004820,1000,0,0,,False
1004874,1000,1,1,17.0,True
1004877,1000,0,0,,False
1004887,1000,0,0,,False
1005005,1000,1,1,31.0,True
1005093,1000,2,2,95.0,True
1005185,1000,0,0,,False
1005333,1000,1,1,2.0,True
1005714,1000,1,1,3.0,True
1005742,1000,1,1,4.0,True
1005745,1000,1,1,89.0,True
1005995,1000,1,1,15.0,True
1006181,1000,0,0,,False
1006239,1000,0,0,,False
1006246,1000,0,0,,False
1006572,1000,1,1,1.0,True
1006674,1000,1,1,5.0,True
1006784,1000,0,0,,False
1006831,1000,0,0,,False
1006860,1000,1,1,37.0,True
1006907,1000,1,1,109.0,True
1007027,1000,1,1,281.0,True
1007213,1000,0,0,,False
1007263,1000,0,0,,False
100749,1000,1,1,108.0,True
1007896,1000,1,1,59.0,True
1007904,1000,0,0,,False
1008008,1000,0,0,,False
1008398,1000,0,0,,False
1008405,1000,1,1,1.0,True
1008611,1000,0,0,,False
1008745,1000,0,0,,False
1008918,1000,0,0,,False
1009041,1000,0,0,,False
1009117,1000,1,1,133.0,True
1009146,1000,0,0,,False
1009201,1000,0,0,,False
100924,1000,1,1,19.0,True
1009244,1000,0,0,,False
